arg,kp,dropped,score
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,[],0.2112453132867813
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,[],0.2112453132867813
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['people'],0.07342921197414398
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġreach'],0.1792767196893692
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġtheir'],0.14322082698345184
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġlimit'],0.10932298004627228
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġwhen'],0.19913773238658905
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġit'],0.17266885936260223
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġcomes'],0.2358403205871582
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġto'],0.19855213165283203
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġtheir'],0.2096801996231079
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġquality'],0.21418629586696625
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġof'],0.25155213475227356
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġlife'],0.20558172464370728
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġand'],0.05712925270199776
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġshould'],0.02203548699617386
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġbe'],0.1946963369846344
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġable'],0.04884764552116394
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġto'],0.20860527455806732
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġend'],0.08394506573677063
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġtheir'],0.092391736805439
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġsuffering'],0.6177442073822021
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,[],0.2112453132867813
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġthis'],0.05763057991862297
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġcan'],0.17560550570487976
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġbe'],0.28018420934677124
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġdone'],0.05345352739095688
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġwith'],0.10209283232688904
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġlittle'],0.03635524585843086
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġor'],0.25066637992858887
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġno'],0.15435777604579926
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġsuffering'],0.04962439462542534
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġby'],0.2220175564289093
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġassistance'],0.1125178188085556
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġand'],0.049810413271188736
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġthe'],0.061182744801044464
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġperson'],0.052930429577827454
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġis'],0.05009488761425018
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġable'],0.05822955444455147
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġto'],0.17615875601768494
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġsay'],0.06973667442798615
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġgood'],0.21175767481327057
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,['Ġbye'],0.2630680203437805
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,[],0.2112453132867813
